id,url,title,section,type,date,chunk_id,text,sha256
3e4c2d399c-0000,https://datascience.uchicago.edu/about/,About - DSI,about,generic,,0,"The UChicago Data Science Institute executes the University of Chicago’s bold, innovative vision of data science as a new discipline. DSI partners with organizations from academia, industry, government, and the non-profit sector, through a variety of research, education, and outreach programs. We have several job opportunities currently open, including faculty positions, postdoctoral and preceptorship programs, student research and mentorship opportunities, and technical and administrative staff positions.",93a410375295f383d3323f1bfcfedee3f6c2c05f0b4bd51aca909bdaf7c292c7
3e4c2d399c-0001,https://datascience.uchicago.edu/about/,About - DSI,about,generic,,1,"The Data Science Institute is located on the University of Chicago campus across four buildings: the John Crerar Library building, Searle Chemistry Laboratory, Ryerson Laboratory, and the NBC Tower.",5af0feb9df7cd0add84cd7ea4f5a0f9826fb553d1031ec95922b0a2b3949580d
2578caec03-0000,https://datascience.uchicago.edu/education/,Education - DSI,education,generic,,0,"Building the foundations of data science, considering its ethical and societal implications, and communicating its discoveries to make the most powerful and positive real-world impact. A curriculum combining computational and analytical skills, domain knowledge, communication skills, and ethics. See the Committee for Data Science for more. The PhD curriculum combines training in mathematical foundations of data science, responsible data use and communication, and advanced computational methods. Designed for professionals with backgrounds in technical fields who want to become data scientists, a program with rigorous classes, expert instructors, leading-edge technology, and an unparalleled network of industry professionals. Earn a high-powered joint degree at the intersection of business and technology. An MBA and Applied Data Science degree equips you to bridge the gap between tech and management and provide effective leadership in data-centric environments. The Master’s in Data Science (MSDS) has been developed for students interested in pursuing a research career in data science with courses taught by faculty from the departments of statistics, computer science, and many other departments across the university. A rigorous, two-year program offered jointly by the Harris School of Public Policy and the UChicago Department of Computer Science.",80f46da1c5f116bede88ce148e831a9aaf0ea2e2b331e7dc97529d0bf899c4af
2578caec03-0001,https://datascience.uchicago.edu/education/,Education - DSI,education,generic,,1,Reimagining data science education and broadening participation in the field for students across grade levels and institutions.,2ff9136e12a47fcf063b2fbe2d9262ddefabc73d378375019dd97fd22e067129
473e55df7b-0000,https://datascience.uchicago.edu,Data Science Institute,root,generic,,0,"We have several job opportunities currently open, including faculty positions, postdoctoral and preceptorship programs, and technical and administrative staff positions. Join the DSI community for talks, workshops and other gatherings that spark new collaborations and technological discoveries. The Data Science Institute offers programs and partnership opportunities for faculty, students, and organizations from the academic, government, business, and non-profit sectors.",d84983247a1bfbc1f4700d214d0e160a7b56d18ce856fc65fe7724714afd0c73
473e55df7b-0001,https://datascience.uchicago.edu,Data Science Institute,root,generic,,1,Learn more about our programs below.,0137d36a27d204472d2ec047ae88edd00be8b2fa1d0b9b0ba2bf61b933f9c0b3
8954c82254-0000,https://datascience.uchicago.edu/about/about-dsi/,The UChicago Data Science Institute,about,generic,,0,"The UChicago Data Science Institute Jobs & Opportunities Contact Visiting DSI The mission of DSI is to address important scientific and societal questions through coordinated advances in applications, models, algorithms, and platforms. To execute this goal, we: Research: Transcending traditional boundaries by organizing our research into interdisciplinary and foundational themes focused on high impact results that can benefit society, with programs including multi-year research initiatives, seed grants for high-risk, high-reward research projects, and the development of a research ecosystem. Partnerships: Using data science as a lens to re-envision the University of Chicago’s relationship with the South Side of Chicago, greater Chicagoland and globally, we use a community-centered approach to lead, innovate and engage with industry, government, and nonprofits to create meaningful social impact. Education: Expanding upon the conventional view of data science — a combination of statistics, computer science and domain expertise — to build out the foundations of the field, consider its ethical and societal implications, and communicate its discoveries to make the most powerful and positive real-world impact The Data Science Institute partners with the UChicago Department of Computer Science and the UChicago Department of Statistics , and is co-located with UChicago CS in the John Crerar Library Building . But the scope of DSI stretches beyond these departments, facilitating research partnerships and programming for all UChicago divisions, departments, and schools.",ae9db4c9cc4da35169d10d6d00c0e6ddbae5b75ea3a2e5b1fe1897ebb7812c0b
8954c82254-0001,https://datascience.uchicago.edu/about/about-dsi/,The UChicago Data Science Institute,about,generic,,1,"DSI is also part of an ambitious, multi-year expansion of computer science, data science, and AI efforts at the University of Chicago. DSI builds upon the successes of the Center for Data and Computing (CDAC), the intellectual hub and incubator for data science and AI research at the University of Chicago from 2018-2021. All CDAC research projects and programs continue under the Data Science Institute.",a27cff523b087f340a978e06e65276f351d7b7ea28c66ad34615101bcfe881a6
8954c82254-0002,https://datascience.uchicago.edu/about/about-dsi/,The UChicago Data Science Institute,about,generic,,2,Support DSI,35fa90c9e18353c497106ae51686dc0e5f5472a48cdc75149b9c984bb987acdb
5ad0699516-0000,https://datascience.uchicago.edu/about/jobs/,Jobs & Opportunities,about,generic,,0,"The UChicago Data Science Institute Jobs & Opportunities Contact Visiting DSI Faculty Associate Professor of Data Science The University of Chicago invites applications for tenured faculty positions at the rank of Associate Professor in the area of Data Science. Appointments may be made in either the Department of Computer Science or the Department of Statistics, jointly between Statistics and Computer Science, or jointly with another department in the University. Members of the faculty are expected to lead research programs that will produce significant contributions to a field, and teach and mentor at the undergraduate and graduate levels. Apply Now Assistant Professor of Data Science The University of Chicago invites applications for tenure-track faculty positions at the rank of Assistant Professor in the area of Data Science. Appointments may be made in either the Department of Computer Science or the Department of Statistics, jointly between Statistics and Computer Science, or jointly with another department in the University. Members of the faculty are expected to lead research programs that will produce significant contributions to a field, and teach and mentor at the undergraduate and graduate levels. Apply Now Instructional Professor (open rank) in Data Science The Data Science Institute invites applications for the position of Instructional Professor (open rank) in the area of Data Science. The selected candidate will be appointed as Assistant Instructional Professor, Associate Instructional Professor, or Instructional Professor, depending on qualifications.",4edc764ee3969d532301b0ab57330c21f06872f19a3e66a5addb65aaf4819a48
5ad0699516-0001,https://datascience.uchicago.edu/about/jobs/,Jobs & Opportunities,about,generic,,1,"Appointments will be made in the Data Science Institute. Apply Now 2026 Research Director, Data Science for Social Impact (DSSI) Summer Program The Data Science for Social Impact (DSSI) Summer Experience is an immersive 8-week summer research program held at the University of Chicago, aimed at undergraduate students early in their data science education and research experience. The UChicago Data Science Institute seeks a summer Research Director to lead the intellectual and research direction of the program, overseeing curriculum, research projects, and DSSI Network faculty engagement. The Research Director will be based in Chicago, IL for the duration of the 8 week program in Summer 2026 (estimated dates June 14 – August 8, 2026). Compensation is commensurate with experience. This role is well-suited for faculty in data science, computer science, or statistics with a passion for social impact and fostering supportive research experiences. Click here to learn more and apply today. The University of Chicago is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender, gender identity or expression, national or ethnic origin, shared ancestry, age, status as an individual with a disability, military or veteran status, genetic information, or other protected classes under the law. For additional information please see the University’s Notice of Nondiscrimination .",95e671d3af74faa9ac857229f50f417b728ff5418c348e020bc76b1840726fc9
5ad0699516-0002,https://datascience.uchicago.edu/about/jobs/,Jobs & Opportunities,about,generic,,2,"Job seekers in need of a reasonable accommodation to complete the application process should call 773-834-3988 or email equalopportunity@uchicago.edu with their request. The University of Chicago invites applications for tenured faculty positions at the rank of Associate Professor in the area of Data Science. Appointments may be made in either the Department of Computer Science or the Department of Statistics, jointly between Statistics and Computer Science, or jointly with another department in the University. Members of the faculty are expected to lead research programs that will produce significant contributions to a field, and teach and mentor at the undergraduate and graduate levels. Apply Now The University of Chicago invites applications for tenure-track faculty positions at the rank of Assistant Professor in the area of Data Science. Appointments may be made in either the Department of Computer Science or the Department of Statistics, jointly between Statistics and Computer Science, or jointly with another department in the University. Members of the faculty are expected to lead research programs that will produce significant contributions to a field, and teach and mentor at the undergraduate and graduate levels. Apply Now The Data Science Institute invites applications for the position of Instructional Professor (open rank) in the area of Data Science. The selected candidate will be appointed as Assistant Instructional Professor, Associate Instructional Professor, or Instructional Professor, depending on qualifications.",31f7ff20551c375726b586a7857940b23b2339a0eaa3249f367cc69fcc4de782
5ad0699516-0003,https://datascience.uchicago.edu/about/jobs/,Jobs & Opportunities,about,generic,,3,"Appointments will be made in the Data Science Institute. Apply Now The Data Science for Social Impact (DSSI) Summer Experience is an immersive 8-week summer research program held at the University of Chicago, aimed at undergraduate students early in their data science education and research experience. The UChicago Data Science Institute seeks a summer Research Director to lead the intellectual and research direction of the program, overseeing curriculum, research projects, and DSSI Network faculty engagement. The Research Director will be based in Chicago, IL for the duration of the 8 week program in Summer 2026 (estimated dates June 14 – August 8, 2026). Compensation is commensurate with experience. This role is well-suited for faculty in data science, computer science, or statistics with a passion for social impact and fostering supportive research experiences. Click here to learn more and apply today. The University of Chicago is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender, gender identity or expression, national or ethnic origin, shared ancestry, age, status as an individual with a disability, military or veteran status, genetic information, or other protected classes under the law. For additional information please see the University’s Notice of Nondiscrimination . Job seekers in need of a reasonable accommodation to complete the application process should call 773-834-3988 or email equalopportunity@uchicago.edu with their request.",fddb7ebc7cb67e898f250c76a57aa602849c8a27fa0ff6b933ebdcc5716245cd
5ad0699516-0004,https://datascience.uchicago.edu/about/jobs/,Jobs & Opportunities,about,generic,,4,"Postdoctoral Data Science Preceptor The University of Chicago’s Data Science Institute, in partnership with the City Colleges of Chicago (CCC), invites applications for the position of University of Chicago (UChicago) Data Science Preceptorship. The initial appointment is expected to begin August 1st, 2026. Preceptors will work side by side with faculty from UChicago and CCC on teaching and developing course materials. Professional development training will be provided by both the UChicago and CCC faculty. Preceptors will gain experience teaching across learning environments with opportunities to engage with UChicago and CCC students in STEM courses. The teaching obligation is expected to be 2 one-quarter courses at UChicago and 2 one-semester courses at CCC per academic year. This role includes dedicated time for research and scholarship activities. This position also includes structured professional development, administrative duties and student mentoring activities. The position is for an initial two-year appointment with a renewal for a third year possible. We welcome you to join us for an info session on Wednesday November 5th at 4:00pm CST. Join our Executive Director David Uminsky to learn more about the Preceptor position. Click here to reserve your spot. Apply Now SkAI Data Science Preceptor The University of Chicago’s Data Science Institute, in partnership with the City Colleges of Chicago (CCC), and the US National Science Foundation and Simons Foundation-funded National AI Institute for the Sky (“SkAI Institute”) invites applications for the position of the Uni",3785032c4aab959eb864fc98424258494c79b2f1588b39403b0c151dfd02c2b1
